>> ------DATA AND TIME------|--SYNCH 4b--|------------------------DATA 16b--------------------------|-----------------MNEM 12b-------------------|-------DATA 4b-------
>> Thu Jun  3 16:40:58 2021 | (b'[\xa0^`',) | (23904, 24064, 23712, 23680, 23328, 23424, 23520, 23552) | (b'\\\x00\\\x00] \\\xe0\\\xe0] ',)         | 0
>> Thu Jun  3 16:40:58 2021 | (b'Z`\\\x80',) | (23456, 23648, 23648, 23712, 23520, 23936, 23808, 23776) | (b']\xa0] ]@]\x80]\xc0]\xe0',)             | 0
>> Thu Jun  3 16:40:58 2021 | (b'Z ]`',) | (23776, 23808, 23968, 23936, 23968, 24000, 24064, 24096) | (b']\xe0^ ^ ^\x00]\xa0\\\xe0',)            | 0
>> Thu Jun  3 16:40:58 2021 | (b'Z@\\\x80',) | (23552, 23520, 23552, 23808, 23616, 23712, 23744, 23840) | (b']@]`]\xa0]\xe0]\xe0]\xc0',)             | 0
>> Thu Jun  3 16:40:58 2021 | (b'[@^\x80',) | (23808, 23712, 23968, 23968, 23840, 23648, 23904, 23264) | (b'[@[\x00[\x80[\x80\\ \\\xe0',)           | 0
>> Thu Jun  3 16:40:58 2021 | (b'Z\xe0^\x00',) | (23840, 23904, 23968, 24032, 24032, 24064, 24096, 24032) | (b'^@^`^\x00^ ^ ^ ',)                      | 0
>> Thu Jun  3 16:40:58 2021 | (b'[ ^`',) | (23968, 24064, 24096, 24064, 24064, 24096, 24096, 24128) | (b'^`^ ^ ^`]\xa0] ',)                      | 0
>> Thu Jun  3 16:40:58 2021 | (b'[\x80^\xa0',) | (23872, 24000, 24032, 24032, 24064, 24064, 23872, 24096) | (b']\xe0]\xc0^\x00^@^@]\xa0',)             | 0
>> Thu Jun  3 16:40:59 2021 | (b'Z\xc0]`',) | (23648, 23712, 23872, 23904, 23936, 23968, 24032, 24064) | (b'^ ]\xe0^`^@^`^`',)                      | 0
>> Thu Jun  3 16:40:59 2021 | (b'Y\xa0\\\xa0',) | (23552, 23584, 23520, 23808, 23808, 23840, 23968, 24000) | (b']\xc0]\xe0^ ^`^\x00^ ',)                | 0
>> Thu Jun  3 16:40:59 2021 | (b'Z\xe0]\xe0',) | (23808, 23840, 23904, 23968, 23968, 23872, 23968, 23744) | (b']\x00[`[\xa0[\xe0[\xa0\\\x00',)         | 0
